 , Title,Duration,Year,Date
1,  Indian Airlines Flight 605,14 February,1990,1990-05-05
2,  Indian Airlines Flight 427,24 and 25 April,1993,1990-05-10
3,  Sahara Airlines Boeing 737 crash,March 8,1994,1990-05-12
4,  Jalandhar MiG-21 crash,3 May,2002,2002-04-02
5,  Andhra Pradesh CM helicopter crash,September 2,2009,2002-04-26
6,  AI Flight 812 crash,May 22,2010,2002-05-05
7,  Tawang Mi-17 crash,April 19,2011,2002-05-15
8,  Air Force An-32 disappearance,July 22,2016,2002-07-15
9,  UY Aviation King Air C90 crash,June 28,2018,2002-08-13
10, IAF An-32 crash,June 3,2019,2002-08-26